id,user_id,current_issue,recommended_track_id
1,1,I'm getting nightmares about my upcoming trials.,6Uy6K3KdmUdAfelUp0SeXn
2,1,I'm getting nightmares about my upcoming trials.,37f4ITSlgPX81ad2EvmVQr
3,1,I'm getting nightmares about my upcoming trials.,1nInOsHbtotAmEOQhtvnzP
4,1,I'm getting nightmares about my upcoming trials.,0tV8pOpiNsKqUys0ilUcXz
5,1,I'm getting nightmares about my upcoming trials.,3U5JVgI2x4rDyHGObzJfNf
6,1,I'm getting nightmares about my upcoming trials.,77NNZQSqzLNqh2A9JhLRkg
7,1,I'm getting nightmares about my upcoming trials.,0FDzzruyVECATHXKHFs9eJ
8,1,I'm getting nightmares about my upcoming trials.,6F5c58TMEs1byxUstkzVeM
9,1,I'm getting nightmares about my upcoming trials.,2kebNtlS7DqWE54Z66FZIt
10,1,I'm getting nightmares about my upcoming trials.,2MpkJH0uSRWLib6MI8PaHw
